product_id,product_name,product_description
4256,PRODUCTOS ALIMENTICIOS,envase altaovacio con queso tipo manchego lite marca NOCHE BUENA cont 400g
4257,PRODUCTOS ALIMENTICIOS,envase alto vacio queso tipo manchego lite marca NOCHE BUENA cont 400g
4258,PRODUCTOS ALIMENTICIOS,envase alto vacio queso tipo chihuahua amrca ESMERALDA cont 400g
4259,PRODUCTOS ALIMENTICIOS,envasae  alto vacio con queso tipo chihuahua marca ESMERALDA cont 400g
4260,ATUN,caja con lata atun alet amarilla en aceite de oliva marca ORTIZ EL VELERO con 112g
4261,ATUN,lta de atun alet amarilla solido en aceite de oliva amrca OZTIZ DE VELERO
4262,ATUN,cajacon lata con atun blanco comparcto en aceite amrca VIGILANTE
4263,ATUN,lata con atun blanco copacto en aceite de oliva marca VIGILANTE
4264,ATUN,caja con atun blanco compacto en aceite de oliva mrca VIGILANTE
4265,ATUN,lata atun blanco compactoen aceite de oliva mrca VIGILANTE
4266,ATUN,latacon atun aleta amarilla en aceite lomo solido mrca DOORES PREMIUM
4267,ATUN,lata con atun aleta amarilla en aceite marca DOLORES PREMIUM
4268,ATUN,lata con lomo de atun aleta amarilla solido en aceite mrc TUNY
4269,ATUN,lata con lomo deatun aleta amarilla solido en aciete marca TUNY
4270,ATUN,caj aclata con vestresca de atun elero atun aleta amarilla en aceite de oliva mrca TUNY
4271,ATUN,latacon ventresca de atun alero atun aleta amrilla en aceite de oliva mrc TUNY
4272,ATUN,Lomod e atun aleta amarilla en aceite en trozos marca HERDEZ en lata cont. net. 130 g
4273,ATUN,Lomo de atun aleta amarilla en agua marca HERDEZ en lata cont. net. 130 g
4274,ATUN,Atun aleta amarilla en aceite marca TUNY en sobre cont. net. 85 g
4275,JOYERIA DE FANTASIA,Pulcera brillante para dama marca MILA conteniendo 12 pzas
4276,ARTICULOS ESCOLARES,Boligrafo marca SPACE modelo WV-288
4277,ARTICULOS DE BELLEZA,Lima para uÑa marca GURDIT modelo PW-508
4278,ARTICULOS DE PAPEL,Mascara de papel marca LET?S PANTY modelo 04190448
4279,ARTICULOS DE BELLEZA,Cepillo para uÑa marca KAICHAO modelo A-0801
4280,ARTICULOS PARA EL CABELLO,Prendedor para el cabello marca ESTRELLA
4281,PLAYERAS,Playera para caballero marca FARKHO
4282,PANTALON,Pantalon para caballero marca FARKHO
4283,PRENDAS DE VESTIR,Chamarra para niÑa marca CHEERS MINI
4284,PLAYERAS,Playera para niÑa marca FARKHO
4285,PLAYERAS,Playera para dama marca CHEERS
4286,PANTALON,Pantalon de mezclilla para dama marca CHEERS
4287,PLAYERAS,Playera para caballero marca ALFANI modelo 820
4288,ROPA CABALLERO,Boxer para caballero marca ECKO UNLTIT
4289,ROPA CABALLERO,Calcetin para cabllero marca YUMURI
4290,PLAYERAS,Playera para dama marca COLORS modelo 502CH
4291,PRENDAS DE VESTIR,Pantyleta marca PLAYTEX modelo 135
4292,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca CAROLINA HERRERA en caja cont. net. 200 ml
4293,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca DEL MAR en caja cont. net. 90 ml
4294,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca MONT BLANC en caja cont. net. 75 ml
4295,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca VICTORINOX en caja cont. net. 100 ml
4296,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca C.K. en caja cont. net. 100 ml
4297,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca EALPH LAURE N en caja de carton cont. net. 100 ml
4298,ART. DE PERFUMERIA Y BELLEZA,Agua de perfume marca HALLOWEEN en caja cont. net. 100 ml
4299,ART. DE PERFUMERIA Y BELLEZA,Agua de perfume marca GIORGIO ARMANI en caja cont. net. 100 ml
4300,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca FERRARI en caja cont. net. 125 ml
4301,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca KENZO en caja cont. net. 100 ml
4302,ART. DE PERFUMERIA Y BELLEZA,Agua de tocador marca HARDY en tubo cont. net. 100 ml
4303,ART. DE PERFUMERIA Y BELLEZA,Agua de perfume marca LOUF en caja cont. net. 100 ml
4304,MERCERIA Y BONETERIA,Botones de palstico marca SIN MARCA en bolsa conteniendo 100 pzas
4305,ARTICULOS DE BELLEZA,Rizador marca SIN MARCA en bolsa
4306,ARTICULOS RELIGIOSOS,Incienso marca SIN MARCA en caja
4307,ART. DE PERFUMERIA Y BELLEZA,Polvo facial marca I M en envase cont. net. 12 g
4308,ART. DE PERFUMERIA Y BELLEZA,Esmalte uÑas  marca BY APPLE en envase cont. net. 15 ml
4309,ART. DE PERFUMERIA Y BELLEZA,Mascara para pestaÑas marca BIOCOSMETIC en envase cont. net. 13 g
4310,ARTICULOS DE PIEL,Cartera para caballero marca LA ISLA
